customer_id,first_name,last_name,email,city,state,signup_date,loyalty_tier,phone,is_active
C001,Riya,Singh,riya.singh1@gmail.com,Mumbai,Mumbai,2022-10-09,Bronze,9249827706,true
C002,Rohit,Malhotra,rohit.malhotra2@gmail.com,Delhi,Delhi,2023-08-28,Silver,9131994523,true
C003,Gaurav,Chopra,gaurav.chopra3@gmail.com,Surat,Surat,2022-01-28,Silver,9868820204,true
C004,Priya,Agarwal,priya.agarwal4@gmail.com,Hyderabad,Hyderabad,2023-04-05,Silver,9969119330,true
C005,Sanjay,Gupta,sanjay.gupta5@gmail.com,Kolkata,Kolkata,2022-12-15,Bronze,9331191390,true
C006,Kiran,Singh,kiran.singh6@gmail.com,Delhi,Delhi,2023-01-25,Bronze,9469319644,true
C007,Shreya,Verma,shreya.verma7@gmail.com,Ahmedabad,Ahmedabad,2023-07-04,Bronze,9506448196,true
C008,Kavya,Tiwari,kavya.tiwari8@gmail.com,Pune,Pune,2023-08-15,Bronze,9174684276,false
C009,Gaurav,Nair,gaurav.nair9@gmail.com,Delhi,Delhi,2022-08-27,Gold,9508157429,true
C010,Riya,Reddy,riya.reddy10@gmail.com,Bangalore,Bangalore,2023-01-15,Bronze,9819595113,true
C011,Varun,Patel,varun.patel11@gmail.com,Surat,Surat,2023-10-13,Bronze,9882893941,true
C012,Neha,Mishra,neha.mishra12@gmail.com,Chennai,Chennai,2023-10-18,Silver,9335809993,true
C013,Sneha,Verma,sneha.verma13@gmail.com,Hyderabad,Hyderabad,2022-02-02,Gold,9530747414,true
C014,Divya,Saxena,divya.saxena14@gmail.com,Pune,Pune,2022-08-06,Silver,9524806516,true
C015,Riya,Pandey,riya.pandey15@gmail.com,Bangalore,Bangalore,2022-09-29,Bronze,9899925830,true
C016,Ishaan,Saxena,ishaan.saxena16@gmail.com,Kolkata,Kolkata,2023-08-21,Bronze,9335493870,true
C017,Arjun,Chopra,arjun.chopra17@gmail.com,Ahmedabad,Ahmedabad,2022-04-04,Gold,9217734861,true
C018,Deepika,Agarwal,deepika.agarwal18@gmail.com,Surat,Surat,2022-03-07,Bronze,9739830322,true
C019,Pooja,Rao,pooja.rao19@gmail.com,Jaipur,Jaipur,2022-01-12,Silver,9222998994,true
C020,Priya,Rao,priya.rao20@gmail.com,Pune,Pune,2022-04-25,Bronze,9269820594,true
C021,Sandeep,Rao,sandeep.rao21@gmail.com,Jaipur,Jaipur,2022-07-02,Silver,9214257751,true
C022,Kavya,Chopra,kavya.chopra22@gmail.com,Surat,Surat,2022-07-23,Bronze,9918739736,true
C023,Sanjay,Chopra,sanjay.chopra23@gmail.com,Mumbai,Mumbai,2023-09-06,Bronze,9120912992,true
C024,Manish,Nair,manish.nair24@gmail.com,Hyderabad,Hyderabad,2022-03-01,Bronze,9709194872,true
C025,Amit,Bose,amit.bose25@gmail.com,Delhi,Delhi,2023-06-30,Gold,9237859287,true
C026,Priya,Gupta,priya.gupta26@gmail.com,Chennai,Chennai,2023-06-25,Gold,9554340903,true
C027,Varun,Malhotra,varun.malhotra27@gmail.com,Hyderabad,Hyderabad,2022-11-16,Bronze,9821218382,true
C028,Neha,Chopra,neha.chopra28@gmail.com,Ahmedabad,Ahmedabad,2022-05-04,Bronze,9168747287,true
C029,Rahul,Malhotra,rahul.malhotra29@gmail.com,Hyderabad,Hyderabad,2023-08-26,Bronze,9176228245,true
C030,Aditi,Mehta,aditi.mehta30@gmail.com,Delhi,Delhi,2022-02-02,Gold,9176082500,true
C031,Ishaan,Bose,ishaan.bose31@gmail.com,Hyderabad,Hyderabad,2023-07-07,Bronze,9713152854,true
C032,Gaurav,Bose,gaurav.bose32@gmail.com,Kolkata,Kolkata,2022-07-14,Bronze,9807577342,true
C033,Mohit,Agarwal,mohit.agarwal33@gmail.com,Ahmedabad,Ahmedabad,2022-02-25,Silver,9793830224,true
C034,Meera,Iyer,meera.iyer34@gmail.com,Delhi,Delhi,2022-09-12,Bronze,9675832441,true
C035,Mohit,Gupta,mohit.gupta35@gmail.com,Chennai,Chennai,2023-04-19,Bronze,9180943908,true
C036,Suresh,Malhotra,suresh.malhotra36@gmail.com,Delhi,Delhi,2022-02-21,Silver,9680451872,true
C037,Amit,Mehta,amit.mehta37@gmail.com,Bangalore,Bangalore,2023-02-21,Silver,9329509408,true
C038,Tanvi,Verma,tanvi.verma38@gmail.com,Bangalore,Bangalore,2023-01-24,Bronze,9519212169,true
C039,Shreya,Pandey,shreya.pandey39@gmail.com,Chennai,Chennai,2023-03-10,Silver,9884374109,true
C040,Priya,Bose,priya.bose40@gmail.com,Bangalore,Bangalore,2022-07-14,Bronze,9162795957,true
C041,Priya,Verma,priya.verma41@gmail.com,Pune,Pune,2022-02-28,Bronze,9611947770,true
C042,Suresh,Chopra,suresh.chopra42@gmail.com,Bangalore,Bangalore,2022-02-28,Platinum,9186019028,true
C043,Amit,Tiwari,amit.tiwari43@gmail.com,Delhi,Delhi,2023-11-23,Gold,9533550699,true
C044,Tanvi,Saxena,tanvi.saxena44@gmail.com,Hyderabad,Hyderabad,2023-08-16,Silver,9765055833,true
C045,Rohit,Saxena,rohit.saxena45@gmail.com,Surat,Surat,2023-06-20,Bronze,9379995032,true
C046,Sahil,Iyer,sahil.iyer46@gmail.com,Hyderabad,Hyderabad,2022-09-29,Bronze,9821221887,true
C047,Neha,Iyer,neha.iyer47@gmail.com,Delhi,Delhi,2022-01-10,Silver,9704509817,true
C048,Amit,Malhotra,amit.malhotra48@gmail.com,Hyderabad,Hyderabad,2023-06-03,Bronze,9474745382,true
C049,Tanvi,Mehta,tanvi.mehta49@gmail.com,Pune,Pune,2022-10-19,Bronze,9995226828,true
C050,Kavya,Tiwari,kavya.tiwari50@gmail.com,Jaipur,Jaipur,2022-01-09,Silver,9695499669,true
C051,Rohit,Singh,rohit.singh51@gmail.com,Bangalore,Bangalore,2022-09-28,Bronze,9214929002,true
C052,Arjun,Rao,arjun.rao52@gmail.com,Chennai,Chennai,2023-09-12,Bronze,9468164906,true
C053,Riya,Rao,riya.rao53@gmail.com,Jaipur,Jaipur,2023-05-16,Bronze,9154544899,true
